2014-01-01 02:20:00+00,768.0445
2014-01-01 02:21:00+00,769.7452
2014-01-01 02:22:00+00,771.5283
2014-01-01 02:23:00+00,769.9008
2014-01-01 02:24:00+00,770.9383
2014-01-01 02:25:00+00,772.9590
2014-01-01 02:26:00+00,770.9222
2014-01-01 02:27:00+00,770.9542
2014-01-01 02:28:00+00,771.3658
2014-01-01 02:29:00+00,770.8155
2014-01-01 02:30:00+00,771.8203
2014-01-01 02:31:00+00,771.8387
2014-01-01 02:32:00+00,787.6275
2014-01-01 02:33:00+00,771.8027
2014-01-01 02:34:00+00,771.7533
2014-01-01 02:35:00+00,772.5450
2014-01-01 02:36:00+00,772.3800
2014-01-01 02:37:00+00,772.8323
2014-01-01 02:38:00+00,772.8163
2014-01-01 02:39:00+00,772.7938
2014-01-01 02:40:00+00,772.2850
2014-01-01 02:41:00+00,771.6162
2014-01-01 02:42:00+00,770.9535
2014-01-01 02:43:00+00,770.6787
2014-01-01 02:44:00+00,770.4263
2014-01-01 02:45:00+00,770.2987
2014-01-01 02:46:00+00,770.0868
2014-01-01 02:47:00+00,770.1715
2014-01-01 02:48:00+00,770.1900
2014-01-01 02:49:00+00,770.0737
2014-01-01 02:50:00+00,770.8982
2014-01-01 02:51:00+00,770.0772
2014-01-01 02:52:00+00,770.5300
2014-01-01 02:53:00+00,770.4982
2014-01-01 02:54:00+00,770.3042
2014-01-01 02:55:00+00,770.3367
2014-01-01 02:56:00+00,770.8513
2014-01-01 02:57:00+00,770.7843
2014-01-01 02:58:00+00,770.8793
2014-01-01 02:59:00+00,770.8602
2014-01-01 03:00:00+00,770.5447
2014-01-01 03:01:00+00,770.1400
2014-01-01 03:02:00+00,769.4917
2014-01-01 03:03:00+00,769.5113
2014-01-01 03:04:00+00,770.0608
2014-01-01 03:05:00+00,769.2017
2014-01-01 03:06:00+00,769.3033
2014-01-01 03:07:00+00,769.6370
2014-01-01 03:08:00+00,770.3022
2014-01-01 03:09:00+00,769.5162
2014-01-01 03:10:00+00,769.8497
2014-01-01 03:11:00+00,769.6765
2014-01-01 03:12:00+00,770.1212
2014-01-01 03:13:00+00,769.3648
2014-01-01 03:14:00+00,769.8473
2014-01-01 03:15:00+00,769.7017
2014-01-01 03:16:00+00,769.1385
2014-01-01 03:17:00+00,768.9965
2014-01-01 03:18:00+00,768.8235
2014-01-01 03:19:00+00,769.1369
2014-01-01 03:20:00+00,768.5675
2014-01-01 03:21:00+00,768.0143
2014-01-01 03:22:00+00,768.0827
2014-01-01 03:23:00+00,768.0827
2014-01-01 03:24:00+00,768.4860
2014-01-01 03:25:00+00,768.6133
2014-01-01 03:26:00+00,764.8918
2014-01-01 03:27:00+00,764.4923
2014-01-01 03:28:00+00,765.8230
2014-01-01 03:29:00+00,763.7232
2014-01-01 03:30:00+00,763.9118
2014-01-01 03:31:00+00,764.1553
2014-01-01 03:32:00+00,765.2124
2014-01-01 03:33:00+00,765.1906
2014-01-01 03:34:00+00,765.1942
2014-01-01 03:35:00+00,765.3054
2014-01-01 03:36:00+00,765.4839
2014-01-01 03:37:00+00,765.3167
2014-01-01 03:38:00+00,765.3167
2014-01-01 03:39:00+00,765.6830
2014-01-01 03:40:00+00,765.8267
2014-01-01 03:41:00+00,766.2348
2014-01-01 03:42:00+00,766.1047
2014-01-01 03:43:00+00,766.3030
2014-01-01 03:44:00+00,766.8815
2014-01-01 03:45:00+00,766.3214
2014-01-01 03:46:00+00,766.8082
2014-01-01 03:47:00+00,766.2808
2014-01-01 03:48:00+00,766.2480
2014-01-01 03:49:00+00,766.9290
2014-01-01 03:50:00+00,767.0054
